Date,Open,High,Low,Close,Adj Close,Volume
2014-01-02,19.845715,19.893929,19.715000,19.754642,17.468653,234684800
2014-01-03,19.745001,19.775000,19.301071,19.320715,17.084936,392467600
2014-01-06,19.194643,19.528570,19.057142,19.426071,17.178104,412610800
2014-01-07,19.440001,19.498571,19.211430,19.287144,17.055254,317209200
2014-01-08,19.243214,19.484285,19.238930,19.409286,17.163260,258529600
2014-01-09,19.528570,19.530714,19.119642,19.161428,16.944086,279148800
2014-01-10,19.279642,19.314285,18.968214,19.033571,16.831022,304976000
2014-01-13,18.925358,19.375000,18.924286,19.133215,16.919134,378492800
2014-01-14,19.222143,19.526072,19.202143,19.513929,17.255795,332561600
2014-01-15,19.768572,20.007143,19.702143,19.905714,17.602242,391638800
2014-01-16,19.817858,19.887501,19.702856,19.794643,17.504026,229278000
2014-01-17,19.695715,19.716785,19.282143,19.309643,17.075146,426739600
2014-01-21,19.321072,19.645357,19.300714,19.609644,17.340433,328526800
2014-01-22,19.675358,19.903214,19.564644,19.696787,17.417492,379985200
2014-01-23,19.640715,19.875000,19.457500,19.863571,17.564970,403239200
2014-01-24,19.785713,19.843571,19.455357,19.502501,17.245689,429354800
2014-01-27,19.645357,19.814285,19.491072,19.660713,17.385590,554878800
2014-01-28,18.170000,18.392857,17.931070,18.089287,15.996014,1065523200
2014-01-29,17.998215,18.120358,17.807858,17.883928,15.814418,502810000
2014-01-30,17.947857,18.089287,17.739286,17.849285,15.783783,678501600
2014-01-31,17.684999,17.911785,17.626785,17.878571,15.809683,464797200
2014-02-03,17.950357,18.133215,17.832144,17.911785,15.839045,401464000
2014-02-04,18.066071,18.195000,17.955713,18.171070,16.068327,376681200
2014-02-05,18.091429,18.402857,18.080357,18.306786,16.188339,328344800
2014-02-06,18.216429,18.339287,18.136070,18.303928,16.282696,257765200
2014-02-07,18.620714,18.676071,18.477858,18.559999,16.510494,370280400
2014-02-10,18.523571,18.999643,18.500000,18.892500,16.806284,345559200
2014-02-11,18.950357,19.205357,18.910713,19.141430,17.027716,282256800
2014-02-12,19.176786,19.270000,19.044287,19.139999,17.026443,308100800
2014-02-13,19.094999,19.458929,19.078571,19.443930,17.296814,307398000
2014-02-14,19.373928,19.499287,19.328930,19.428213,17.282835,272924400
2014-02-18,19.500000,19.685356,19.486071,19.499643,17.346376,260251600
2014-02-19,19.455357,19.531786,19.083929,19.191786,17.072519,313768000
2014-02-20,19.035357,19.178572,18.892857,18.969643,16.874897,305858000
2014-02-21,19.028214,19.091785,18.735714,18.758928,16.687454,278784800
2014-02-24,18.683929,18.925714,18.657858,18.841070,16.760527,288909600
2014-02-25,18.906429,18.913214,18.607143,18.645000,16.586107,231952000
2014-02-26,18.700357,18.750000,18.414286,18.476786,16.436476,276217200
2014-02-27,18.469286,18.885000,18.430357,18.845358,16.764343,301882000
2014-02-28,18.895714,19.026787,18.647142,18.794287,16.718908,371968800
2014-03-03,18.693571,18.951786,18.671785,18.848572,16.767200,238781200
2014-03-04,18.964287,19.022858,18.848928,18.972857,16.877760,259140000
2014-03-05,18.961430,19.098213,18.897499,19.012857,16.913342,200062800
2014-03-06,19.028214,19.087143,18.860714,18.955357,16.862192,185488800
2014-03-07,18.967501,18.999287,18.787500,18.944286,16.852345,220729600
2014-03-10,18.870001,19.047501,18.869286,18.961430,16.867599,178584000
2014-03-11,19.123215,19.240713,19.021070,19.146070,17.031847,279224400
2014-03-12,19.089643,19.191071,19.000000,19.164642,17.048370,199326400
2014-03-13,19.194286,19.273571,18.898571,18.951786,16.859016,257742800
2014-03-14,18.885357,18.960358,18.678572,18.738930,16.669662,237199200
2014-03-17,18.846430,18.927500,18.780357,18.812143,16.734798,199544800
2014-03-18,18.782143,18.998928,18.757143,18.978571,16.882839,209647200
2014-03-19,19.009287,19.151428,18.892857,18.973572,16.878397,224756000
2014-03-20,18.924643,19.023930,18.833929,18.882143,16.797064,208398400
2014-03-21,18.997499,19.062500,18.797501,19.031071,16.929550,374046400
2014-03-24,19.229286,19.303572,19.109285,19.256786,17.130341,355700800
2014-03-25,19.339287,19.491072,19.271070,19.463928,17.314604,282293200
2014-03-26,19.518572,19.607143,19.245001,19.277857,17.149080,299768000
2014-03-27,19.286428,19.339287,19.111429,19.195000,17.075369,222031600
2014-03-28,19.225714,19.247856,19.080357,19.173571,17.056313,200564000
2014-03-31,19.258215,19.314644,19.140356,19.169287,17.052505,168669200
2014-04-01,19.205713,19.352501,19.170357,19.344643,17.208494,200760000
2014-04-02,19.370714,19.410000,19.295000,19.376785,17.237083,180420800
2014-04-03,19.335358,19.375000,19.201429,19.242500,17.117626,162344000
2014-04-04,19.278929,19.285713,18.949286,18.993570,16.896187,275251200
2014-04-07,18.857857,18.960714,18.638929,18.695356,16.630905,289850400
2014-04-08,18.756786,18.790001,18.525000,18.694286,16.629951,243888400
2014-04-09,18.665714,18.946072,18.643572,18.940001,16.848532,206169600
2014-04-10,18.952856,19.008572,18.684643,18.695715,16.631224,239652000
2014-04-11,18.535713,18.672501,18.469286,18.557501,16.508270,271717600
2014-04-14,18.639286,18.648571,18.471786,18.631430,16.574034,205674000
2014-04-15,18.581072,18.629999,18.261786,18.498571,16.455845,266490000
2014-04-16,18.501785,18.610357,18.362143,18.536072,16.489216,214765600
2014-04-17,18.571428,18.848572,18.542856,18.747856,16.677605,284334400
2014-04-21,18.762142,19.004999,18.712856,18.970358,16.875540,182548800
2014-04-22,18.868214,18.993929,18.803572,18.989286,16.892370,202563200
2014-04-23,18.895000,18.968929,18.730356,18.741072,16.671576,394940000
2014-04-24,20.293215,20.357143,20.026072,20.277500,18.038336,759911600
2014-04-25,20.161785,20.428213,20.141430,20.426430,18.170828,390275200
2014-04-28,20.457144,21.276787,20.448214,21.217501,18.874535,669485600
2014-04-29,21.205000,21.285000,21.053928,21.154642,18.818615,337377600
2014-04-30,21.165714,21.408215,21.064285,21.074642,18.747456,456640800
2014-05-01,21.142857,21.242857,20.941429,21.124287,18.791613,244048000
2014-05-02,21.155001,21.221430,21.061071,21.163570,18.826567,191514400
2014-05-05,21.076429,21.464287,21.071428,21.462856,19.092802,287067200
2014-05-06,21.492857,21.586071,21.228930,21.228930,18.884706,374564400
2014-05-07,21.258928,21.331785,20.990356,21.154642,18.818615,282864400
2014-05-08,21.008928,21.228930,20.942858,20.999643,18.785076,230297200
2014-05-09,20.876429,20.937500,20.726070,20.912144,18.706808,291597600
2014-05-12,20.981787,21.202143,20.978571,21.172501,18.939701,213208800
2014-05-13,21.142857,21.233570,21.096430,21.205713,18.969412,159737200
2014-05-14,21.158215,21.335714,21.133572,21.209642,18.972925,166404000
2014-05-15,21.239286,21.307142,21.001429,21.029285,18.811596,230846000
2014-05-16,21.022499,21.340357,20.907143,21.339643,19.089218,276256400
2014-05-19,21.351786,21.690357,21.333214,21.592501,19.315414,317755200
2014-05-20,21.589643,21.657143,21.454643,21.596786,19.319246,234836000
2014-05-21,21.565357,21.667856,21.502144,21.653929,19.370363,196859600
2014-05-22,21.664286,21.780357,21.575001,21.688213,19.401030,200760000
2014-05-23,21.687500,21.954643,21.659643,21.933214,19.620197,232209600
2014-05-27,21.995714,22.352142,21.986786,22.343929,19.987595,348866000
2014-05-28,22.357857,22.493929,22.277857,22.286072,19.935844,315481600
2014-05-29,22.423214,22.745358,22.420357,22.692142,20.299091,376474000
2014-05-30,22.785000,23.006071,22.460714,22.607143,20.223055,564020800
2014-06-02,22.641430,22.672501,22.232143,22.451786,20.084084,369350800
2014-06-03,22.445000,22.812143,22.437500,22.769285,20.368090,292709200
2014-06-04,22.765715,23.138929,22.718214,23.029285,20.600676,335482000
2014-06-05,23.078571,23.191786,22.950357,23.119642,20.681505,303805600
